cpa/S6/demo.64_4.s6.p00.g00.cor [40] ; min = -0.618122 (43613) ; max = +0.610569 (25812) ; ext = -0.618122 (43613)
cpa/S6/demo.64_4.s6.p00.g01.cor [40] ; min = -0.625297 (40779) ; max = +0.661137 (25912) ; ext = +0.661137 (25912)
cpa/S6/demo.64_4.s6.p00.g02.cor [40] ; min = -0.548448 (29158) ; max = +0.605901 (322) ; ext = +0.605901 (322)
cpa/S6/demo.64_4.s6.p00.g03.cor [40] ; min = -0.527484 (28361) ; max = +0.569986 (12211) ; ext = +0.569986 (12211)
cpa/S6/demo.64_4.s6.p00.g04.cor [40] ; min = -0.604554 (30245) ; max = +0.599810 (4786) ; ext = -0.604554 (30245)
cpa/S6/demo.64_4.s6.p00.g05.cor [40] ; min = -0.593510 (28543) ; max = +0.538928 (49801) ; ext = -0.593510 (28543)
cpa/S6/demo.64_4.s6.p00.g06.cor [40] ; min = -0.596060 (46027) ; max = +0.604422 (39979) ; ext = +0.604422 (39979)
cpa/S6/demo.64_4.s6.p00.g07.cor [40] ; min = -0.591606 (25034) ; max = +0.591977 (5524) ; ext = +0.591977 (5524)
cpa/S6/demo.64_4.s6.p00.g08.cor [40] ; min = -0.543656 (18141) ; max = +0.531187 (34829) ; ext = -0.543656 (18141)
cpa/S6/demo.64_4.s6.p00.g09.cor [40] ; min = -0.556996 (41314) ; max = +0.464441 (3003) ; ext = -0.556996 (41314)
cpa/S6/demo.64_4.s6.p00.g10.cor [40] ; min = -0.578459 (8063) ; max = +0.572494 (14708) ; ext = -0.578459 (8063)
cpa/S6/demo.64_4.s6.p00.g11.cor [40] ; min = -0.527621 (37443) ; max = +0.609482 (13368) ; ext = +0.609482 (13368)
cpa/S6/demo.64_4.s6.p00.g12.cor [40] ; min = -0.502056 (6671) ; max = +0.561458 (26070) ; ext = +0.561458 (26070)
cpa/S6/demo.64_4.s6.p00.g13.cor [40] ; min = -0.597976 (33654) ; max = +0.595086 (45851) ; ext = -0.597976 (33654)
cpa/S6/demo.64_4.s6.p00.g14.cor [40] ; min = -0.534077 (30702) ; max = +0.538056 (20625) ; ext = +0.538056 (20625)
cpa/S6/demo.64_4.s6.p00.g15.cor [40] ; min = -0.568826 (25422) ; max = +0.594838 (30670) ; ext = +0.594838 (30670)
cpa/S6/demo.64_4.s6.p00.g16.cor [40] ; min = -0.529583 (47349) ; max = +0.549606 (43006) ; ext = +0.549606 (43006)
cpa/S6/demo.64_4.s6.p00.g17.cor [40] ; min = -0.548725 (32297) ; max = +0.506806 (37581) ; ext = -0.548725 (32297)
cpa/S6/demo.64_4.s6.p00.g18.cor [40] ; min = -0.543263 (15838) ; max = +0.617022 (1692) ; ext = +0.617022 (1692)
cpa/S6/demo.64_4.s6.p00.g19.cor [40] ; min = -0.585698 (25925) ; max = +0.538001 (12301) ; ext = -0.585698 (25925)
cpa/S6/demo.64_4.s6.p00.g20.cor [40] ; min = -0.643009 (1951) ; max = +0.654978 (9418) ; ext = +0.654978 (9418)
cpa/S6/demo.64_4.s6.p00.g21.cor [40] ; min = -0.629886 (15610) ; max = +0.607176 (47397) ; ext = -0.629886 (15610)
cpa/S6/demo.64_4.s6.p00.g22.cor [40] ; min = -0.536557 (37295) ; max = +0.550639 (24849) ; ext = +0.550639 (24849)
cpa/S6/demo.64_4.s6.p00.g23.cor [40] ; min = -0.571941 (36309) ; max = +0.522121 (30024) ; ext = -0.571941 (36309)
cpa/S6/demo.64_4.s6.p00.g24.cor [40] ; min = -0.611120 (12477) ; max = +0.588028 (40165) ; ext = -0.611120 (12477)
cpa/S6/demo.64_4.s6.p00.g25.cor [40] ; min = -0.600062 (31557) ; max = +0.560792 (40551) ; ext = -0.600062 (31557)
cpa/S6/demo.64_4.s6.p00.g26.cor [40] ; min = -0.581732 (38177) ; max = +0.529622 (32156) ; ext = -0.581732 (38177)
cpa/S6/demo.64_4.s6.p00.g27.cor [40] ; min = -0.521598 (16876) ; max = +0.545436 (29389) ; ext = +0.545436 (29389)
cpa/S6/demo.64_4.s6.p00.g28.cor [40] ; min = -0.573568 (40702) ; max = +0.537895 (25377) ; ext = -0.573568 (40702)
cpa/S6/demo.64_4.s6.p00.g29.cor [40] ; min = -0.576457 (3701) ; max = +0.568630 (15460) ; ext = -0.576457 (3701)
cpa/S6/demo.64_4.s6.p00.g30.cor [40] ; min = -0.558093 (21237) ; max = +0.596712 (43981) ; ext = +0.596712 (43981)
cpa/S6/demo.64_4.s6.p00.g31.cor [40] ; min = -0.623392 (10805) ; max = +0.557786 (20634) ; ext = -0.623392 (10805)
cpa/S6/demo.64_4.s6.p00.g32.cor [40] ; min = -0.630336 (47608) ; max = +0.646672 (42530) ; ext = +0.646672 (42530)
cpa/S6/demo.64_4.s6.p00.g33.cor [40] ; min = -0.561637 (26734) ; max = +0.501988 (40700) ; ext = -0.561637 (26734)
cpa/S6/demo.64_4.s6.p00.g34.cor [40] ; min = -0.644894 (25643) ; max = +0.612051 (38111) ; ext = -0.644894 (25643)
cpa/S6/demo.64_4.s6.p00.g35.cor [40] ; min = -0.664360 (15120) ; max = +0.752843 (31511) ; ext = +0.752843 (31511)
cpa/S6/demo.64_4.s6.p00.g36.cor [40] ; min = -0.613869 (21147) ; max = +0.632976 (11357) ; ext = +0.632976 (11357)
cpa/S6/demo.64_4.s6.p00.g37.cor [40] ; min = -0.557415 (31474) ; max = +0.549852 (44649) ; ext = -0.557415 (31474)
cpa/S6/demo.64_4.s6.p00.g38.cor [40] ; min = -0.582128 (15595) ; max = +0.572406 (3972) ; ext = -0.582128 (15595)
cpa/S6/demo.64_4.s6.p00.g39.cor [40] ; min = -0.617315 (4776) ; max = +0.541753 (31758) ; ext = -0.617315 (4776)
cpa/S6/demo.64_4.s6.p00.g40.cor [40] ; min = -0.579421 (39069) ; max = +0.566063 (20293) ; ext = -0.579421 (39069)
cpa/S6/demo.64_4.s6.p00.g41.cor [40] ; min = -0.581499 (11812) ; max = +0.571748 (42016) ; ext = -0.581499 (11812)
cpa/S6/demo.64_4.s6.p00.g42.cor [40] ; min = -0.574705 (3082) ; max = +0.541733 (42597) ; ext = -0.574705 (3082)
cpa/S6/demo.64_4.s6.p00.g43.cor [40] ; min = -0.588042 (32142) ; max = +0.547784 (37860) ; ext = -0.588042 (32142)
cpa/S6/demo.64_4.s6.p00.g44.cor [40] ; min = -0.553276 (33730) ; max = +0.513033 (7893) ; ext = -0.553276 (33730)
cpa/S6/demo.64_4.s6.p00.g45.cor [40] ; min = -0.563632 (7793) ; max = +0.553901 (11955) ; ext = -0.563632 (7793)
cpa/S6/demo.64_4.s6.p00.g46.cor [40] ; min = -0.570654 (8570) ; max = +0.639427 (31431) ; ext = +0.639427 (31431)
cpa/S6/demo.64_4.s6.p00.g47.cor [40] ; min = -0.609557 (31220) ; max = +0.662127 (3451) ; ext = +0.662127 (3451)
cpa/S6/demo.64_4.s6.p00.g48.cor [40] ; min = -0.556650 (21305) ; max = +0.534364 (28093) ; ext = -0.556650 (21305)
cpa/S6/demo.64_4.s6.p00.g49.cor [40] ; min = -0.528045 (1692) ; max = +0.550629 (16978) ; ext = +0.550629 (16978)
cpa/S6/demo.64_4.s6.p00.g50.cor [40] ; min = -0.674391 (5225) ; max = +0.715914 (27817) ; ext = +0.715914 (27817)
cpa/S6/demo.64_4.s6.p00.g51.cor [40] ; min = -0.551454 (85) ; max = +0.583916 (44987) ; ext = +0.583916 (44987)
