cpa/S7/demo.64_4.s7.p00.g00.cor [40] ; min = -0.549178 (15389) ; max = +0.550775 (1694) ; ext = +0.550775 (1694)
cpa/S7/demo.64_4.s7.p00.g01.cor [40] ; min = -0.562799 (47803) ; max = +0.550717 (4814) ; ext = -0.562799 (47803)
cpa/S7/demo.64_4.s7.p00.g02.cor [40] ; min = -0.557752 (36908) ; max = +0.542603 (28045) ; ext = -0.557752 (36908)
cpa/S7/demo.64_4.s7.p00.g03.cor [40] ; min = -0.612174 (43964) ; max = +0.650275 (19408) ; ext = +0.650275 (19408)
cpa/S7/demo.64_4.s7.p00.g04.cor [40] ; min = -0.581524 (33528) ; max = +0.536424 (5464) ; ext = -0.581524 (33528)
cpa/S7/demo.64_4.s7.p00.g05.cor [40] ; min = -0.572335 (45125) ; max = +0.546894 (44181) ; ext = -0.572335 (45125)
cpa/S7/demo.64_4.s7.p00.g06.cor [40] ; min = -0.607374 (40965) ; max = +0.597573 (34415) ; ext = -0.607374 (40965)
cpa/S7/demo.64_4.s7.p00.g07.cor [40] ; min = -0.592119 (164) ; max = +0.616874 (29117) ; ext = +0.616874 (29117)
cpa/S7/demo.64_4.s7.p00.g08.cor [40] ; min = -0.574804 (14395) ; max = +0.534244 (95) ; ext = -0.574804 (14395)
cpa/S7/demo.64_4.s7.p00.g09.cor [40] ; min = -0.605242 (32889) ; max = +0.604322 (29115) ; ext = -0.605242 (32889)
cpa/S7/demo.64_4.s7.p00.g10.cor [40] ; min = -0.630715 (22229) ; max = +0.628259 (14250) ; ext = -0.630715 (22229)
cpa/S7/demo.64_4.s7.p00.g11.cor [40] ; min = -0.624999 (18715) ; max = +0.657084 (32843) ; ext = +0.657084 (32843)
cpa/S7/demo.64_4.s7.p00.g12.cor [40] ; min = -0.548698 (48977) ; max = +0.556049 (16914) ; ext = +0.556049 (16914)
cpa/S7/demo.64_4.s7.p00.g13.cor [40] ; min = -0.551165 (28133) ; max = +0.551753 (46724) ; ext = +0.551753 (46724)
cpa/S7/demo.64_4.s7.p00.g14.cor [40] ; min = -0.606756 (6469) ; max = +0.628779 (13608) ; ext = +0.628779 (13608)
cpa/S7/demo.64_4.s7.p00.g15.cor [40] ; min = -0.630627 (9456) ; max = +0.523407 (42245) ; ext = -0.630627 (9456)
cpa/S7/demo.64_4.s7.p00.g16.cor [40] ; min = -0.484326 (43365) ; max = +0.544515 (46532) ; ext = +0.544515 (46532)
cpa/S7/demo.64_4.s7.p00.g17.cor [40] ; min = -0.528787 (18193) ; max = +0.550261 (7292) ; ext = +0.550261 (7292)
cpa/S7/demo.64_4.s7.p00.g18.cor [40] ; min = -0.600977 (48632) ; max = +0.530002 (42371) ; ext = -0.600977 (48632)
cpa/S7/demo.64_4.s7.p00.g19.cor [40] ; min = -0.546789 (12223) ; max = +0.615493 (22667) ; ext = +0.615493 (22667)
cpa/S7/demo.64_4.s7.p00.g20.cor [40] ; min = -0.574716 (24481) ; max = +0.611366 (45850) ; ext = +0.611366 (45850)
cpa/S7/demo.64_4.s7.p00.g21.cor [40] ; min = -0.605618 (6303) ; max = +0.555146 (31801) ; ext = -0.605618 (6303)
cpa/S7/demo.64_4.s7.p00.g22.cor [40] ; min = -0.543286 (45344) ; max = +0.499583 (33180) ; ext = -0.543286 (45344)
cpa/S7/demo.64_4.s7.p00.g23.cor [40] ; min = -0.608107 (32181) ; max = +0.604885 (19135) ; ext = -0.608107 (32181)
cpa/S7/demo.64_4.s7.p00.g24.cor [40] ; min = -0.575862 (35494) ; max = +0.601652 (11263) ; ext = +0.601652 (11263)
cpa/S7/demo.64_4.s7.p00.g25.cor [40] ; min = -0.612192 (46287) ; max = +0.619832 (5985) ; ext = +0.619832 (5985)
cpa/S7/demo.64_4.s7.p00.g26.cor [40] ; min = -0.578474 (15283) ; max = +0.606419 (44180) ; ext = +0.606419 (44180)
cpa/S7/demo.64_4.s7.p00.g27.cor [40] ; min = -0.591383 (8020) ; max = +0.554328 (12912) ; ext = -0.591383 (8020)
cpa/S7/demo.64_4.s7.p00.g28.cor [40] ; min = -0.663909 (10907) ; max = +0.603610 (8428) ; ext = -0.663909 (10907)
cpa/S7/demo.64_4.s7.p00.g29.cor [40] ; min = -0.640183 (11909) ; max = +0.546709 (1362) ; ext = -0.640183 (11909)
cpa/S7/demo.64_4.s7.p00.g30.cor [40] ; min = -0.540099 (39798) ; max = +0.540937 (34004) ; ext = +0.540937 (34004)
cpa/S7/demo.64_4.s7.p00.g31.cor [40] ; min = -0.565701 (38073) ; max = +0.519171 (29715) ; ext = -0.565701 (38073)
cpa/S7/demo.64_4.s7.p00.g32.cor [40] ; min = -0.620019 (957) ; max = +0.614118 (47884) ; ext = -0.620019 (957)
