
cpa/S1/demo.64_4.s1.p00.g18.cor [40] ; min = -0.712168 (1672) ; max = +0.831326 (33410) ; ext = +0.831326 (33410)
cpa/S1/demo.64_4.s1.p00.g57.cor [40] ; min = -0.605514 (33731) ; max = +0.687037 (40497) ; ext = +0.687037 (40497)
cpa/S1/demo.64_4.s1.p00.g04.cor [40] ; min = -0.623524 (32093) ; max = +0.685132 (8826) ; ext = +0.685132 (8826)
cpa/S1/demo.64_4.s1.p00.g62.cor [40] ; min = -0.594013 (49457) ; max = +0.680473 (22854) ; ext = +0.680473 (22854)
cpa/S1/demo.64_4.s1.p00.g49.cor [40] ; min = -0.605597 (42616) ; max = +0.677046 (32442) ; ext = +0.677046 (32442)
cpa/S1/demo.64_4.s1.p00.g42.cor [40] ; min = -0.621335 (28304) ; max = +0.675877 (33931) ; ext = +0.675877 (33931)
cpa/S1/demo.64_4.s1.p00.g41.cor [40] ; min = -0.527461 (46004) ; max = +0.653739 (22328) ; ext = +0.653739 (22328)
cpa/S1/demo.64_4.s1.p00.g26.cor [40] ; min = -0.650946 (42284) ; max = +0.638984 (36677) ; ext = -0.650946 (42284)
cpa/S1/demo.64_4.s1.p00.g46.cor [40] ; min = -0.567508 (21435) ; max = +0.632461 (39936) ; ext = +0.632461 (39936)
cpa/S1/demo.64_4.s1.p00.g58.cor [40] ; min = -0.612313 (21856) ; max = +0.622015 (6782) ; ext = +0.622015 (6782)

cpa/S2/demo.64_4.s2.p00.g33.cor [40] ; min = -0.662099 (180) ; max = +0.846517 (14694) ; ext = +0.846517 (14694)
cpa/S2/demo.64_4.s2.p00.g00.cor [40] ; min = -0.588369 (35490) ; max = +0.678357 (30562) ; ext = +0.678357 (30562)
cpa/S2/demo.64_4.s2.p00.g41.cor [40] ; min = -0.635813 (26669) ; max = +0.669553 (37517) ; ext = +0.669553 (37517)
cpa/S2/demo.64_4.s2.p00.g63.cor [40] ; min = -0.595514 (1179) ; max = +0.660038 (10066) ; ext = +0.660038 (10066)
cpa/S2/demo.64_4.s2.p00.g27.cor [40] ; min = -0.593842 (37660) ; max = +0.641660 (2227) ; ext = +0.641660 (2227)
cpa/S2/demo.64_4.s2.p00.g23.cor [40] ; min = -0.622985 (33105) ; max = +0.635060 (6027) ; ext = +0.635060 (6027)
