cpa/S1/sync.64_4.s1.p00.g00.cor [40] ; min = -0.557317 (7971) ; max = +0.507462 (16229) ; ext = -0.557317 (7971)
cpa/S1/sync.64_4.s1.p00.g01.cor [40] ; min = -0.622397 (14989) ; max = +0.604470 (10085) ; ext = -0.622397 (14989)
cpa/S1/sync.64_4.s1.p00.g02.cor [40] ; min = -0.525085 (15037) ; max = +0.611057 (43055) ; ext = +0.611057 (43055)
cpa/S1/sync.64_4.s1.p00.g03.cor [40] ; min = -0.629800 (46667) ; max = +0.595519 (3586) ; ext = -0.629800 (46667)
cpa/S1/sync.64_4.s1.p00.g04.cor [40] ; min = -0.566097 (14253) ; max = +0.559046 (9188) ; ext = -0.566097 (14253)
cpa/S1/sync.64_4.s1.p00.g05.cor [40] ; min = -0.677924 (19311) ; max = +0.622028 (26594) ; ext = -0.677924 (19311)
cpa/S1/sync.64_4.s1.p00.g06.cor [40] ; min = -0.585450 (9830) ; max = +0.573567 (42748) ; ext = -0.585450 (9830)
cpa/S1/sync.64_4.s1.p00.g07.cor [40] ; min = -0.534965 (15073) ; max = +0.611739 (42201) ; ext = +0.611739 (42201)
cpa/S1/sync.64_4.s1.p00.g08.cor [40] ; min = -0.608282 (17191) ; max = +0.574099 (2000) ; ext = -0.608282 (17191)
cpa/S1/sync.64_4.s1.p00.g09.cor [40] ; min = -0.602398 (5095) ; max = +0.619285 (31466) ; ext = +0.619285 (31466)
cpa/S1/sync.64_4.s1.p00.g10.cor [40] ; min = -0.585243 (13967) ; max = +0.548594 (40832) ; ext = -0.585243 (13967)
cpa/S1/sync.64_4.s1.p00.g11.cor [40] ; min = -0.577321 (17794) ; max = +0.577420 (36770) ; ext = +0.577420 (36770)
cpa/S1/sync.64_4.s1.p00.g12.cor [40] ; min = -0.625239 (19256) ; max = +0.603660 (34487) ; ext = -0.625239 (19256)
cpa/S1/sync.64_4.s1.p00.g13.cor [40] ; min = -0.587236 (12267) ; max = +0.574299 (5615) ; ext = -0.587236 (12267)
cpa/S1/sync.64_4.s1.p00.g14.cor [40] ; min = -0.619177 (40969) ; max = +0.613585 (9831) ; ext = -0.619177 (40969)
cpa/S1/sync.64_4.s1.p00.g15.cor [40] ; min = -0.554506 (4911) ; max = +0.540319 (37899) ; ext = -0.554506 (4911)
cpa/S1/sync.64_4.s1.p00.g16.cor [40] ; min = -0.578952 (43966) ; max = +0.649002 (2641) ; ext = +0.649002 (2641)
cpa/S1/sync.64_4.s1.p00.g17.cor [40] ; min = -0.575312 (6650) ; max = +0.670836 (18379) ; ext = +0.670836 (18379)
cpa/S1/sync.64_4.s1.p00.g18.cor [40] ; min = -0.889000 (2078) ; max = +0.930957 (25000) ; ext = +0.930957 (25000)
cpa/S1/sync.64_4.s1.p00.g19.cor [40] ; min = -0.592847 (35086) ; max = +0.571153 (5842) ; ext = -0.592847 (35086)
cpa/S1/sync.64_4.s1.p00.g20.cor [40] ; min = -0.663771 (22231) ; max = +0.620627 (47418) ; ext = -0.663771 (22231)
cpa/S1/sync.64_4.s1.p00.g21.cor [40] ; min = -0.583268 (17778) ; max = +0.560725 (43114) ; ext = -0.583268 (17778)
cpa/S1/sync.64_4.s1.p00.g22.cor [40] ; min = -0.668694 (4826) ; max = +0.639470 (22119) ; ext = -0.668694 (4826)
cpa/S1/sync.64_4.s1.p00.g23.cor [40] ; min = -0.565405 (5850) ; max = +0.648772 (36209) ; ext = +0.648772 (36209)
cpa/S1/sync.64_4.s1.p00.g24.cor [40] ; min = -0.538320 (47426) ; max = +0.572509 (23321) ; ext = +0.572509 (23321)
cpa/S1/sync.64_4.s1.p00.g25.cor [40] ; min = -0.641069 (32551) ; max = +0.628606 (28773) ; ext = -0.641069 (32551)
cpa/S1/sync.64_4.s1.p00.g26.cor [40] ; min = -0.598896 (32711) ; max = +0.563982 (8882) ; ext = -0.598896 (32711)
cpa/S1/sync.64_4.s1.p00.g27.cor [40] ; min = -0.580070 (10075) ; max = +0.581787 (39433) ; ext = +0.581787 (39433)
cpa/S1/sync.64_4.s1.p00.g28.cor [40] ; min = -0.565632 (35321) ; max = +0.547048 (41674) ; ext = -0.565632 (35321)
cpa/S1/sync.64_4.s1.p00.g29.cor [40] ; min = -0.561008 (3896) ; max = +0.568929 (36016) ; ext = +0.568929 (36016)
cpa/S1/sync.64_4.s1.p00.g30.cor [40] ; min = -0.530919 (10231) ; max = +0.587484 (29318) ; ext = +0.587484 (29318)
cpa/S1/sync.64_4.s1.p00.g31.cor [40] ; min = -0.579743 (16562) ; max = +0.612046 (23616) ; ext = +0.612046 (23616)
cpa/S1/sync.64_4.s1.p00.g32.cor [40] ; min = -0.555774 (48920) ; max = +0.647243 (12252) ; ext = +0.647243 (12252)
cpa/S1/sync.64_4.s1.p00.g33.cor [40] ; min = -0.579308 (35730) ; max = +0.572154 (8640) ; ext = -0.579308 (35730)
cpa/S1/sync.64_4.s1.p00.g34.cor [40] ; min = -0.576452 (10092) ; max = +0.589931 (17648) ; ext = +0.589931 (17648)
cpa/S1/sync.64_4.s1.p00.g35.cor [40] ; min = -0.546310 (460) ; max = +0.585933 (10470) ; ext = +0.585933 (10470)
cpa/S1/sync.64_4.s1.p00.g36.cor [40] ; min = -0.581906 (9330) ; max = +0.612631 (42249) ; ext = +0.612631 (42249)
cpa/S1/sync.64_4.s1.p00.g37.cor [40] ; min = -0.572332 (5877) ; max = +0.628437 (2406) ; ext = +0.628437 (2406)
cpa/S1/sync.64_4.s1.p00.g38.cor [40] ; min = -0.615659 (14258) ; max = +0.559639 (921) ; ext = -0.615659 (14258)
cpa/S1/sync.64_4.s1.p00.g39.cor [40] ; min = -0.559242 (36354) ; max = +0.543580 (852) ; ext = -0.559242 (36354)
cpa/S1/sync.64_4.s1.p00.g40.cor [40] ; min = -0.655308 (2525) ; max = +0.636461 (17648) ; ext = -0.655308 (2525)
cpa/S1/sync.64_4.s1.p00.g41.cor [40] ; min = -0.539272 (39020) ; max = +0.600824 (23106) ; ext = +0.600824 (23106)
cpa/S1/sync.64_4.s1.p00.g42.cor [40] ; min = -0.619424 (2529) ; max = +0.625972 (22597) ; ext = +0.625972 (22597)
cpa/S1/sync.64_4.s1.p00.g43.cor [40] ; min = -0.591731 (1558) ; max = +0.618021 (42032) ; ext = +0.618021 (42032)
cpa/S1/sync.64_4.s1.p00.g44.cor [40] ; min = -0.551881 (45845) ; max = +0.525395 (20702) ; ext = -0.551881 (45845)
cpa/S1/sync.64_4.s1.p00.g45.cor [40] ; min = -0.598560 (9694) ; max = +0.615830 (38873) ; ext = +0.615830 (38873)
cpa/S1/sync.64_4.s1.p00.g46.cor [40] ; min = -0.625179 (40691) ; max = +0.593561 (4293) ; ext = -0.625179 (40691)
cpa/S1/sync.64_4.s1.p00.g47.cor [40] ; min = -0.537902 (3009) ; max = +0.548013 (30383) ; ext = +0.548013 (30383)
cpa/S1/sync.64_4.s1.p00.g48.cor [40] ; min = -0.600727 (40052) ; max = +0.606614 (33759) ; ext = +0.606614 (33759)
cpa/S1/sync.64_4.s1.p00.g49.cor [40] ; min = -0.627003 (7868) ; max = +0.647251 (25012) ; ext = +0.647251 (25012)
cpa/S1/sync.64_4.s1.p00.g50.cor [40] ; min = -0.584567 (5900) ; max = +0.569938 (2423) ; ext = -0.584567 (5900)
cpa/S1/sync.64_4.s1.p00.g51.cor [40] ; min = -0.579586 (7931) ; max = +0.643577 (32902) ; ext = +0.643577 (32902)
cpa/S1/sync.64_4.s1.p00.g52.cor [40] ; min = -0.611900 (26281) ; max = +0.544866 (21577) ; ext = -0.611900 (26281)
cpa/S1/sync.64_4.s1.p00.g53.cor [40] ; min = -0.588278 (22944) ; max = +0.598912 (2097) ; ext = +0.598912 (2097)
cpa/S1/sync.64_4.s1.p00.g54.cor [40] ; min = -0.579276 (1851) ; max = +0.567013 (20372) ; ext = -0.579276 (1851)
cpa/S1/sync.64_4.s1.p00.g55.cor [40] ; min = -0.612004 (34127) ; max = +0.578980 (22805) ; ext = -0.612004 (34127)
cpa/S1/sync.64_4.s1.p00.g56.cor [40] ; min = -0.670158 (43597) ; max = +0.629059 (2078) ; ext = -0.670158 (43597)
cpa/S1/sync.64_4.s1.p00.g57.cor [40] ; min = -0.609268 (32893) ; max = +0.602757 (37886) ; ext = -0.609268 (32893)
cpa/S1/sync.64_4.s1.p00.g58.cor [40] ; min = -0.601616 (39355) ; max = +0.622841 (36304) ; ext = +0.622841 (36304)
cpa/S1/sync.64_4.s1.p00.g59.cor [40] ; min = -0.612811 (10737) ; max = +0.585840 (25878) ; ext = -0.612811 (10737)
cpa/S1/sync.64_4.s1.p00.g60.cor [40] ; min = -0.640203 (22119) ; max = +0.599523 (26647) ; ext = -0.640203 (22119)
cpa/S1/sync.64_4.s1.p00.g61.cor [40] ; min = -0.543494 (772) ; max = +0.604777 (9860) ; ext = +0.604777 (9860)
cpa/S1/sync.64_4.s1.p00.g62.cor [40] ; min = -0.597935 (17112) ; max = +0.626017 (22301) ; ext = +0.626017 (22301)
cpa/S1/sync.64_4.s1.p00.g63.cor [40] ; min = -0.591949 (10579) ; max = +0.548485 (35400) ; ext = -0.591949 (10579)
