cpa/S8/sync.64_8.s8.p00.g00.cor [40] ; min = -0.619566 (8218) ; max = +0.586601 (13125) ; ext = -0.619566 (8218)
cpa/S8/sync.64_8.s8.p00.g01.cor [40] ; min = -0.626304 (5745) ; max = +0.574219 (7743) ; ext = -0.626304 (5745)
cpa/S8/sync.64_8.s8.p00.g02.cor [40] ; min = -0.582591 (6292) ; max = +0.554985 (29029) ; ext = -0.582591 (6292)
cpa/S8/sync.64_8.s8.p00.g03.cor [40] ; min = -0.629400 (16601) ; max = +0.595629 (8838) ; ext = -0.629400 (16601)
cpa/S8/sync.64_8.s8.p00.g04.cor [40] ; min = -0.582146 (15939) ; max = +0.561224 (34495) ; ext = -0.582146 (15939)
cpa/S8/sync.64_8.s8.p00.g05.cor [40] ; min = -0.598515 (37263) ; max = +0.611045 (3902) ; ext = +0.611045 (3902)
cpa/S8/sync.64_8.s8.p00.g06.cor [40] ; min = -0.551875 (14414) ; max = +0.572305 (13799) ; ext = +0.572305 (13799)
cpa/S8/sync.64_8.s8.p00.g07.cor [40] ; min = -0.669655 (18682) ; max = +0.628013 (35011) ; ext = -0.669655 (18682)
cpa/S8/sync.64_8.s8.p00.g08.cor [40] ; min = -0.618119 (46015) ; max = +0.595160 (14111) ; ext = -0.618119 (46015)
cpa/S8/sync.64_8.s8.p00.g09.cor [40] ; min = -0.589714 (18903) ; max = +0.586352 (5116) ; ext = -0.589714 (18903)
cpa/S8/sync.64_8.s8.p00.g10.cor [40] ; min = -0.579978 (24871) ; max = +0.541746 (19944) ; ext = -0.579978 (24871)
cpa/S8/sync.64_8.s8.p00.g11.cor [40] ; min = -0.575004 (22030) ; max = +0.672597 (5345) ; ext = +0.672597 (5345)
cpa/S8/sync.64_8.s8.p00.g12.cor [40] ; min = -0.667175 (49523) ; max = +0.591895 (43829) ; ext = -0.667175 (49523)
cpa/S8/sync.64_8.s8.p00.g13.cor [40] ; min = -0.572230 (5389) ; max = +0.571024 (15770) ; ext = -0.572230 (5389)
cpa/S8/sync.64_8.s8.p00.g14.cor [40] ; min = -0.527966 (14976) ; max = +0.538466 (46974) ; ext = +0.538466 (46974)
cpa/S8/sync.64_8.s8.p00.g15.cor [40] ; min = -0.560173 (14750) ; max = +0.564027 (22519) ; ext = +0.564027 (22519)
cpa/S8/sync.64_8.s8.p00.g16.cor [40] ; min = -0.587506 (16481) ; max = +0.616447 (34328) ; ext = +0.616447 (34328)
cpa/S8/sync.64_8.s8.p00.g17.cor [40] ; min = -0.574540 (25250) ; max = +0.540992 (41189) ; ext = -0.574540 (25250)
cpa/S8/sync.64_8.s8.p00.g18.cor [40] ; min = -0.647320 (13245) ; max = +0.581555 (1582) ; ext = -0.647320 (13245)
cpa/S8/sync.64_8.s8.p00.g19.cor [40] ; min = -0.589947 (38253) ; max = +0.573475 (33430) ; ext = -0.589947 (38253)
cpa/S8/sync.64_8.s8.p00.g20.cor [40] ; min = -0.654602 (35873) ; max = +0.645432 (21267) ; ext = -0.654602 (35873)
cpa/S8/sync.64_8.s8.p00.g21.cor [40] ; min = -0.645099 (2872) ; max = +0.606942 (9381) ; ext = -0.645099 (2872)
cpa/S8/sync.64_8.s8.p00.g22.cor [40] ; min = -0.601505 (36608) ; max = +0.614248 (13726) ; ext = +0.614248 (13726)
cpa/S8/sync.64_8.s8.p00.g23.cor [40] ; min = -0.597358 (9714) ; max = +0.595637 (46265) ; ext = -0.597358 (9714)
cpa/S8/sync.64_8.s8.p00.g24.cor [40] ; min = -0.629310 (2846) ; max = +0.598585 (44448) ; ext = -0.629310 (2846)
cpa/S8/sync.64_8.s8.p00.g25.cor [40] ; min = -0.592489 (5711) ; max = +0.566356 (21858) ; ext = -0.592489 (5711)
cpa/S8/sync.64_8.s8.p00.g26.cor [40] ; min = -0.566221 (31154) ; max = +0.550333 (46356) ; ext = -0.566221 (31154)
cpa/S8/sync.64_8.s8.p00.g27.cor [40] ; min = -0.645994 (30424) ; max = +0.624851 (29609) ; ext = -0.645994 (30424)
cpa/S8/sync.64_8.s8.p00.g28.cor [40] ; min = -0.620533 (7045) ; max = +0.637326 (40143) ; ext = +0.637326 (40143)
cpa/S8/sync.64_8.s8.p00.g29.cor [40] ; min = -0.577272 (31466) ; max = +0.629539 (44645) ; ext = +0.629539 (44645)
cpa/S8/sync.64_8.s8.p00.g30.cor [40] ; min = -0.557331 (37050) ; max = +0.602653 (29619) ; ext = +0.602653 (29619)
cpa/S8/sync.64_8.s8.p00.g31.cor [40] ; min = -0.595263 (15112) ; max = +0.576756 (1720) ; ext = -0.595263 (15112)
cpa/S8/sync.64_8.s8.p00.g32.cor [40] ; min = -0.582567 (5201) ; max = +0.561504 (39971) ; ext = -0.582567 (5201)
cpa/S8/sync.64_8.s8.p00.g33.cor [40] ; min = -0.619063 (15275) ; max = +0.615288 (45998) ; ext = -0.619063 (15275)
cpa/S8/sync.64_8.s8.p00.g34.cor [40] ; min = -0.589725 (1329) ; max = +0.587499 (33388) ; ext = -0.589725 (1329)
cpa/S8/sync.64_8.s8.p00.g35.cor [40] ; min = -0.622074 (25598) ; max = +0.579610 (5622) ; ext = -0.622074 (25598)
cpa/S8/sync.64_8.s8.p00.g36.cor [40] ; min = -0.672564 (41872) ; max = +0.607084 (37799) ; ext = -0.672564 (41872)
cpa/S8/sync.64_8.s8.p00.g37.cor [40] ; min = -0.616692 (26525) ; max = +0.585825 (39736) ; ext = -0.616692 (26525)
cpa/S8/sync.64_8.s8.p00.g38.cor [40] ; min = -0.629666 (22463) ; max = +0.603296 (4225) ; ext = -0.629666 (22463)
cpa/S8/sync.64_8.s8.p00.g39.cor [40] ; min = -0.589735 (37985) ; max = +0.594190 (37995) ; ext = +0.594190 (37995)
cpa/S8/sync.64_8.s8.p00.g40.cor [40] ; min = -0.648193 (8129) ; max = +0.668930 (36741) ; ext = +0.668930 (36741)
cpa/S8/sync.64_8.s8.p00.g41.cor [40] ; min = -0.602893 (4136) ; max = +0.651206 (11400) ; ext = +0.651206 (11400)
cpa/S8/sync.64_8.s8.p00.g42.cor [40] ; min = -0.589911 (27695) ; max = +0.632474 (18754) ; ext = +0.632474 (18754)
cpa/S8/sync.64_8.s8.p00.g43.cor [40] ; min = -0.543892 (1666) ; max = +0.568321 (44010) ; ext = +0.568321 (44010)
cpa/S8/sync.64_8.s8.p00.g44.cor [40] ; min = -0.577190 (36542) ; max = +0.656063 (16748) ; ext = +0.656063 (16748)
cpa/S8/sync.64_8.s8.p00.g45.cor [40] ; min = -0.627898 (43039) ; max = +0.593788 (34858) ; ext = -0.627898 (43039)
cpa/S8/sync.64_8.s8.p00.g46.cor [40] ; min = -0.600081 (18917) ; max = +0.583137 (10426) ; ext = -0.600081 (18917)
cpa/S8/sync.64_8.s8.p00.g47.cor [40] ; min = -0.546776 (10440) ; max = +0.576377 (632) ; ext = +0.576377 (632)
cpa/S8/sync.64_8.s8.p00.g48.cor [40] ; min = -0.554478 (3676) ; max = +0.588415 (16592) ; ext = +0.588415 (16592)
cpa/S8/sync.64_8.s8.p00.g49.cor [40] ; min = -0.616294 (36376) ; max = +0.531205 (14810) ; ext = -0.616294 (36376)
cpa/S8/sync.64_8.s8.p00.g50.cor [40] ; min = -0.647215 (14007) ; max = +0.604169 (17386) ; ext = -0.647215 (14007)
cpa/S8/sync.64_8.s8.p00.g51.cor [40] ; min = -0.619591 (4034) ; max = +0.674490 (27171) ; ext = +0.674490 (27171)
cpa/S8/sync.64_8.s8.p00.g52.cor [40] ; min = -0.551012 (45862) ; max = +0.594706 (1212) ; ext = +0.594706 (1212)
cpa/S8/sync.64_8.s8.p00.g53.cor [40] ; min = -0.611652 (1520) ; max = +0.599277 (36350) ; ext = -0.611652 (1520)
cpa/S8/sync.64_8.s8.p00.g54.cor [40] ; min = -0.524828 (3076) ; max = +0.656826 (15103) ; ext = +0.656826 (15103)
cpa/S8/sync.64_8.s8.p00.g55.cor [40] ; min = -0.614732 (30099) ; max = +0.686580 (14865) ; ext = +0.686580 (14865)
cpa/S8/sync.64_8.s8.p00.g56.cor [40] ; min = -0.589589 (12753) ; max = +0.603891 (40648) ; ext = +0.603891 (40648)
cpa/S8/sync.64_8.s8.p00.g57.cor [40] ; min = -0.610709 (36778) ; max = +0.622691 (49112) ; ext = +0.622691 (49112)
cpa/S8/sync.64_8.s8.p00.g58.cor [40] ; min = -0.612468 (2522) ; max = +0.667603 (36991) ; ext = +0.667603 (36991)
cpa/S8/sync.64_8.s8.p00.g59.cor [40] ; min = -0.654201 (25248) ; max = +0.574563 (35998) ; ext = -0.654201 (25248)
cpa/S8/sync.64_8.s8.p00.g60.cor [40] ; min = -0.555670 (41148) ; max = +0.628954 (13998) ; ext = +0.628954 (13998)
cpa/S8/sync.64_8.s8.p00.g61.cor [40] ; min = -0.527765 (16541) ; max = +0.597921 (43039) ; ext = +0.597921 (43039)
cpa/S8/sync.64_8.s8.p00.g62.cor [40] ; min = -0.610861 (22750) ; max = +0.627700 (3816) ; ext = +0.627700 (3816)
cpa/S8/sync.64_8.s8.p00.g63.cor [40] ; min = -0.576623 (3237) ; max = +0.559531 (22750) ; ext = -0.576623 (3237)
