cpa/S8/sync.64_4.s8.p00.g00.cor [40] ; min = -0.559677 (19684) ; max = +0.646526 (15394) ; ext = +0.646526 (15394)
cpa/S8/sync.64_4.s8.p00.g01.cor [40] ; min = -0.634932 (45902) ; max = +0.562737 (40851) ; ext = -0.634932 (45902)
cpa/S8/sync.64_4.s8.p00.g02.cor [40] ; min = -0.612459 (16085) ; max = +0.559158 (38784) ; ext = -0.612459 (16085)
cpa/S8/sync.64_4.s8.p00.g03.cor [40] ; min = -0.686395 (3081) ; max = +0.631755 (9283) ; ext = -0.686395 (3081)
cpa/S8/sync.64_4.s8.p00.g04.cor [40] ; min = -0.652366 (29473) ; max = +0.680374 (23102) ; ext = +0.680374 (23102)
cpa/S8/sync.64_4.s8.p00.g05.cor [40] ; min = -0.605580 (39791) ; max = +0.667959 (45035) ; ext = +0.667959 (45035)
cpa/S8/sync.64_4.s8.p00.g06.cor [40] ; min = -0.579939 (10804) ; max = +0.570965 (14373) ; ext = -0.579939 (10804)
cpa/S8/sync.64_4.s8.p00.g07.cor [40] ; min = -0.596971 (15475) ; max = +0.662505 (35011) ; ext = +0.662505 (35011)
cpa/S8/sync.64_4.s8.p00.g08.cor [40] ; min = -0.570123 (23474) ; max = +0.623406 (17196) ; ext = +0.623406 (17196)
cpa/S8/sync.64_4.s8.p00.g09.cor [40] ; min = -0.619276 (15471) ; max = +0.614677 (6784) ; ext = -0.619276 (15471)
cpa/S8/sync.64_4.s8.p00.g10.cor [40] ; min = -0.663560 (13079) ; max = +0.542763 (9520) ; ext = -0.663560 (13079)
cpa/S8/sync.64_4.s8.p00.g11.cor [40] ; min = -0.596656 (41322) ; max = +0.588219 (32656) ; ext = -0.596656 (41322)
cpa/S8/sync.64_4.s8.p00.g12.cor [40] ; min = -0.560237 (12268) ; max = +0.660369 (38484) ; ext = +0.660369 (38484)
cpa/S8/sync.64_4.s8.p00.g13.cor [40] ; min = -0.603215 (1412) ; max = +0.644226 (14318) ; ext = +0.644226 (14318)
cpa/S8/sync.64_4.s8.p00.g14.cor [40] ; min = -0.599287 (36364) ; max = +0.557276 (46122) ; ext = -0.599287 (36364)
cpa/S8/sync.64_4.s8.p00.g15.cor [40] ; min = -0.580049 (9983) ; max = +0.647403 (32686) ; ext = +0.647403 (32686)
cpa/S8/sync.64_4.s8.p00.g16.cor [40] ; min = -0.610111 (604) ; max = +0.562441 (49974) ; ext = -0.610111 (604)
cpa/S8/sync.64_4.s8.p00.g17.cor [40] ; min = -0.574986 (25250) ; max = +0.572827 (20924) ; ext = -0.574986 (25250)
cpa/S8/sync.64_4.s8.p00.g18.cor [40] ; min = -0.618992 (49194) ; max = +0.593622 (46140) ; ext = -0.618992 (49194)
cpa/S8/sync.64_4.s8.p00.g19.cor [40] ; min = -0.644081 (40580) ; max = +0.530732 (12290) ; ext = -0.644081 (40580)
cpa/S8/sync.64_4.s8.p00.g20.cor [40] ; min = -0.539745 (31573) ; max = +0.604067 (744) ; ext = +0.604067 (744)
cpa/S8/sync.64_4.s8.p00.g21.cor [40] ; min = -0.639905 (23109) ; max = +0.578404 (29622) ; ext = -0.639905 (23109)
cpa/S8/sync.64_4.s8.p00.g22.cor [40] ; min = -0.620941 (10061) ; max = +0.710300 (16975) ; ext = +0.710300 (16975)
cpa/S8/sync.64_4.s8.p00.g23.cor [40] ; min = -0.601897 (34001) ; max = +0.590891 (43911) ; ext = -0.601897 (34001)
cpa/S8/sync.64_4.s8.p00.g24.cor [40] ; min = -0.540160 (28994) ; max = +0.627988 (44153) ; ext = +0.627988 (44153)
cpa/S8/sync.64_4.s8.p00.g25.cor [40] ; min = -0.580882 (40851) ; max = +0.656439 (23102) ; ext = +0.656439 (23102)
cpa/S8/sync.64_4.s8.p00.g26.cor [40] ; min = -0.644825 (29514) ; max = +0.651423 (6284) ; ext = +0.651423 (6284)
cpa/S8/sync.64_4.s8.p00.g27.cor [40] ; min = -0.572958 (16592) ; max = +0.637194 (2450) ; ext = +0.637194 (2450)
cpa/S8/sync.64_4.s8.p00.g28.cor [40] ; min = -0.658669 (46917) ; max = +0.618348 (25959) ; ext = -0.658669 (46917)
cpa/S8/sync.64_4.s8.p00.g29.cor [40] ; min = -0.657613 (18783) ; max = +0.637855 (7129) ; ext = -0.657613 (18783)
cpa/S8/sync.64_4.s8.p00.g30.cor [40] ; min = -0.717711 (39141) ; max = +0.649204 (43543) ; ext = -0.717711 (39141)
cpa/S8/sync.64_4.s8.p00.g31.cor [40] ; min = -0.610698 (22865) ; max = +0.580589 (29621) ; ext = -0.610698 (22865)
cpa/S8/sync.64_4.s8.p00.g32.cor [40] ; min = -0.608716 (42057) ; max = +0.577328 (23065) ; ext = -0.608716 (42057)
cpa/S8/sync.64_4.s8.p00.g33.cor [40] ; min = -0.599642 (29619) ; max = +0.553139 (34860) ; ext = -0.599642 (29619)
cpa/S8/sync.64_4.s8.p00.g34.cor [40] ; min = -0.636470 (19161) ; max = +0.578085 (44148) ; ext = -0.636470 (19161)
cpa/S8/sync.64_4.s8.p00.g35.cor [40] ; min = -0.561327 (24091) ; max = +0.584236 (7469) ; ext = +0.584236 (7469)
cpa/S8/sync.64_4.s8.p00.g36.cor [40] ; min = -0.645794 (30746) ; max = +0.656182 (49531) ; ext = +0.656182 (49531)
cpa/S8/sync.64_4.s8.p00.g37.cor [40] ; min = -0.628163 (25250) ; max = +0.561913 (2412) ; ext = -0.628163 (25250)
cpa/S8/sync.64_4.s8.p00.g38.cor [40] ; min = -0.651278 (14318) ; max = +0.641650 (46384) ; ext = -0.651278 (14318)
cpa/S8/sync.64_4.s8.p00.g39.cor [40] ; min = -0.604179 (109) ; max = +0.566068 (16146) ; ext = -0.604179 (109)
cpa/S8/sync.64_4.s8.p00.g40.cor [40] ; min = -0.653350 (36260) ; max = +0.618764 (32686) ; ext = -0.653350 (36260)
cpa/S8/sync.64_4.s8.p00.g41.cor [40] ; min = -0.598880 (38784) ; max = +0.631198 (13760) ; ext = +0.631198 (13760)
cpa/S8/sync.64_4.s8.p00.g42.cor [40] ; min = -0.640438 (25143) ; max = +0.572433 (274) ; ext = -0.640438 (25143)
cpa/S8/sync.64_4.s8.p00.g43.cor [40] ; min = -0.562925 (16242) ; max = +0.583739 (27624) ; ext = +0.583739 (27624)
cpa/S8/sync.64_4.s8.p00.g44.cor [40] ; min = -0.599936 (22522) ; max = +0.574640 (29514) ; ext = -0.599936 (22522)
cpa/S8/sync.64_4.s8.p00.g45.cor [40] ; min = -0.573110 (21971) ; max = +0.536386 (29303) ; ext = -0.573110 (21971)
cpa/S8/sync.64_4.s8.p00.g46.cor [40] ; min = -0.620552 (34862) ; max = +0.587630 (45281) ; ext = -0.620552 (34862)
cpa/S8/sync.64_4.s8.p00.g47.cor [40] ; min = -0.597135 (6284) ; max = +0.559597 (15867) ; ext = -0.597135 (6284)
cpa/S8/sync.64_4.s8.p00.g48.cor [40] ; min = -0.732438 (29609) ; max = +0.915242 (16592) ; ext = +0.915242 (16592)
cpa/S8/sync.64_4.s8.p00.g49.cor [40] ; min = -0.669400 (23102) ; max = +0.588424 (43053) ; ext = -0.669400 (23102)
cpa/S8/sync.64_4.s8.p00.g50.cor [40] ; min = -0.608313 (6284) ; max = +0.593902 (15748) ; ext = -0.608313 (6284)
cpa/S8/sync.64_4.s8.p00.g51.cor [40] ; min = -0.584484 (5805) ; max = +0.592372 (12711) ; ext = +0.592372 (12711)
cpa/S8/sync.64_4.s8.p00.g52.cor [40] ; min = -0.600951 (1021) ; max = +0.676579 (18882) ; ext = +0.676579 (18882)
cpa/S8/sync.64_4.s8.p00.g53.cor [40] ; min = -0.672742 (6783) ; max = +0.617395 (37096) ; ext = -0.672742 (6783)
cpa/S8/sync.64_4.s8.p00.g54.cor [40] ; min = -0.615996 (6496) ; max = +0.611850 (21828) ; ext = -0.615996 (6496)
cpa/S8/sync.64_4.s8.p00.g55.cor [40] ; min = -0.626176 (4075) ; max = +0.650514 (44763) ; ext = +0.650514 (44763)
cpa/S8/sync.64_4.s8.p00.g56.cor [40] ; min = -0.613720 (22865) ; max = +0.648436 (1384) ; ext = +0.648436 (1384)
cpa/S8/sync.64_4.s8.p00.g57.cor [40] ; min = -0.628561 (35504) ; max = +0.572923 (13921) ; ext = -0.628561 (35504)
cpa/S8/sync.64_4.s8.p00.g58.cor [40] ; min = -0.601146 (23157) ; max = +0.543161 (27423) ; ext = -0.601146 (23157)
cpa/S8/sync.64_4.s8.p00.g59.cor [40] ; min = -0.614872 (25463) ; max = +0.627008 (29844) ; ext = +0.627008 (29844)
cpa/S8/sync.64_4.s8.p00.g60.cor [40] ; min = -0.616763 (39708) ; max = +0.546671 (18178) ; ext = -0.616763 (39708)
cpa/S8/sync.64_4.s8.p00.g61.cor [40] ; min = -0.598602 (33086) ; max = +0.569938 (13117) ; ext = -0.598602 (33086)
cpa/S8/sync.64_4.s8.p00.g62.cor [40] ; min = -0.684060 (6148) ; max = +0.657505 (741) ; ext = -0.684060 (6148)
cpa/S8/sync.64_4.s8.p00.g63.cor [40] ; min = -0.544154 (9961) ; max = +0.582403 (44905) ; ext = +0.582403 (44905)
